Provincia,Crecimiento
Buenos Aires,21.63916666666666
Capital Federal,4.940833333333316
Catamarca,37.1875
Chaco,22.738333333333337
Chubut,44.33166666666666
Corrientes,25.254166666666663
Córdoba,33.458333333333336
Entre Ríos,28.73916666666667
Formosa,23.04083333333333
Jujuy,39.32166666666666
La Pampa,42.44583333333334
La Rioja,63.27916666666667
Mendoza,17.479999999999997
Misiones,27.060000000000002
Neuquén,25.79166666666667
Río Negro,22.143333333333338
Salta,28.046666666666663
San Juan,20.119166666666665
San Luis,71.76416666666667
Santa Cruz,14.639166666666668
Santa Fe,29.056666666666672
Santiago Del Estero,30.924166666666668
Tierra Del Fuego,34.18000000000002
Tucumán,25.125
